"tei","Neue Arbeitsgruppe anlegen","lang1","lang2","lang3","lang4","lang5","lang6"
"adrb_crm_ph_hello_common","Guten Tag!","Hello!",,,,"Bună ziua!",
"522325E3-E2D5-DD8F-BE9F72004234BA83","Notizen","Notes","Poznámky","Poznámky","Notatki","Notă",
"acc_ph_buy_points","Punkte kaufen","Buy points","Nákup bodů","nákup bodu","Zakup punktów","Cumpărare puncte",
"acc_ph_please_select_payment_method","Bitte wählen Sie eine der derzeit angebotenen Zahlungsformen","Please select one of the current payment methods on offer","Zadejte prosím jednu ze současně nabízených forem platby","volba platby","Proszę wybrać jedną z obecnie zaoferowanych form zapłaty","Vă rugăm selectaţi o metodă de plată din cele oferite:",
"adb_ph_goto_page","Gehe zur Seite ...","Go to page...","Jdi na stránku","Jdi na stránku","Przejdź do strony...","Salt la pagina ",
"adb_wd_telephonelist","Telefonliste","Telephone list","Telefonní seznam","Telefonní seznam","Lista telefonów","Listă telefoane",
"adm_bill_autoorder_subject","Wichtig: InBox.cc - Rechnung #%INVOICENUMBER%","Important: InBox.cc – invoice #%INVOICENUMBER%","Důležité:InBox.cc - faktura %INVOICENUMBER%",,"Ważne: InBox.cc - rachunek #%INVOICENUMBER% ","Important: InBox.cc - Factură #%Factură număr%",
"adm_ph_access_blocked_open_invoice1","Es liegen offene und bereits zum 2. mal gemahnte Rechnungen vor -klicken Sie hier um diese jetzt zu bezahlen und wieder auf Ihre Daten zugreifen zu koennen ...","There exist open invoices that already have been reminded twice- click here to settle and to be able to access your data again...",,,"Mają Państwo niezapłacone rachunki, które już po raz drugi były monitowane. Proszę nacisnąć tutaj, aby je teraz uregulować i znów mieć dostęp do swoich danych...","Facturi ne plătite cu 2 avertismente - clic aici pentru a plăti aceste facturi şi a avea din nou acces la date ...",
"adm_ph_access_blocked_open_invoice2","Wenn Sie per Ueberweisung bezahlen koennen wir Sie sofort wieder freischalten wenn Sie eine Kopie des Beleges an +43 316 72 02 40 - 4 faxen. Bei einer Bezahlung via Kreditkarte oder ELV erfolgt die Freischaltung sofort.","If you pay by transfer we can immediately arrange for reactivation if you fax a copy of the payment document to +43 316 72 02 40 - 4 . On a payment via credit card or ELV the activation will take place immediately.
",,,"Jeżeli płacą Państwo przelewem, możemy przywrócić usługi automatycznego obciążenia rachunku natychmiast po przesłaniu kopii przelewu na numer +43 316 72 02 40 - 4. Przy płatności kartą kredytową lub usługi zostaną przywrócone natychmiast.","Modalităţi pentru reactivarea rapidă: transfer bancar, copie ordin de plată (trimisă per fax la +43 316 720 240-4) sau per carte de credit. ",
"adm_ph_access_restrictions","Zugriffsbeschränkungen","Access restrictions",,,"Ograniczenia dostępu","Accese restricţionate",
"adm_ph_accounts_found","%RECORDCOUNT% Konto/Konten gefunden","%RECORDCOUNT% account/accounts found","%RECORDCOUNT% konto/konta nalazena",,"Konto %RECORDCOUNT%/Znalezione konta","%RECORDCOUNT% Cont/Conturi găsit/găsite",
"adm_ph_account_needed_for_shopping","Um Ihre Konten administrieren und im Shop einkaufen zu können benötigen Sie ein Konto.","You need an account to be able to administrate your accounts and have access to the shop","K nákupu v obchodu InBox.cc potřebujete bezplatné konto InBox.cc",,"Aby dokonać zakupów w sklepie InBox.cc potrzebujesz darmowe konto InBox.cc","Pentru a putea cumpăra în InBox.cc-Shop aveţi nevoie de un InBox.cc-Cont gratuit.",
"adm_ph_account_type","Konto-Typ","Account type","Typ konta",,"Typ konta","Tip cont",
"adm_ph_activation_email_adr_ava","E-Mail Adresse vorhanden","Available email address",,,"Adres poczty elektronicznej istnieje","Adresă E-Mail existentă",
"adm_ph_activation_mail_subject","Wichtig: Aktivierungsinformation","Important: activation info",,,"Ważne: Informacja InBox.cc o aktywacji","Important: InBox.cc informaţii activare",
"adm_ph_activation_not_Sended_yet","(Noch nicht geschickt)","Not sent yet",,,"(Jeszcze nie przesłano)","(încă nu a fost trimisă)",
"adm_ph_activation_send_mail_to","Aktivierungsinformation an %EMAILADDRESS% senden ","Send activation info to %EMAILADDRESS%",,,"Przesłać informację o aktywacji na %EMAILADDRESS%","Trimite informaţiile de activare la %EMAILADDRESS%",
"adm_ph_activitiy_logins","Logins","Logins","Login",,"Logowanie","Login",
"adm_ph_activitiy_logins_description","Login-Vorgänge im Browser/PDA/Handy","Login processes in browser/PDA/mobile phone","Procedury přihlášení - Browser/PDA/mobilní telefon",,"Procedury logowania w przeglądarce/PDA/telefonie komórkowym","Login-procedură în Browser/PDA/Mobil",
"adm_ph_activitiy_most_used_services","Meistgenutzte Dienste","Most used services","Nejvíce používané služby",,"Najczęściej używane usługi","Servicii preferate",
"adm_ph_activitiy_most_used_services_usage","Nutzungsverlauf","Usage","Průběh využití",,"Przebieg użytkowania","Utilizare procedură",
"adm_ph_activitiy_no_accounts_multiselect_possible","Multiselect möglich","Multiselect possible","Multiselect možný",,"Możliwy wybór wielokrotny","Multiselect posibil",
